,plan_id,plan_label,distr,vote_circ,vote_sqre,total
657,5178548048,109,4,131,124,255
658,5178548048,109,5,122,136,258
659,5178548048,109,6,120,118,238
660,5178548176,110,1,113,137,250
661,5178548176,110,2,137,121,258
662,5178548176,110,3,140,115,255
663,5178548176,110,4,131,124,255
664,5178548176,110,5,117,127,244
665,5178548176,110,6,120,118,238
666,5180747920,111,1,114,140,254
667,5180747920,111,2,135,119,254
668,5180747920,111,3,136,121,257
669,5180747920,111,4,136,122,258
670,5180747920,111,5,118,119,237
671,5180747920,111,6,119,121,240
672,5180748048,112,1,126,137,263
673,5180748048,112,2,135,127,262
674,5180748048,112,3,126,121,247
675,5180748048,112,4,127,111,238
676,5180748048,112,5,130,114,244
677,5180748048,112,6,114,132,246
678,5180748176,113,1,132,128,260
679,5180748176,113,2,113,126,239
680,5180748176,113,3,125,119,244
681,5180748176,113,4,130,116,246
682,5180748176,113,5,146,111,257
683,5180748176,113,6,112,142,254
684,5180748304,114,1,126,136,262
685,5180748304,114,2,113,126,239
686,5180748304,114,3,136,122,258
687,5180748304,114,4,130,116,246
688,5180748304,114,5,141,105,246
689,5180748304,114,6,112,137,249
690,5180748432,115,1,126,117,243
691,5180748432,115,2,119,126,245
692,5180748432,115,3,124,115,239
693,5180748432,115,4,126,132,258
694,5180748432,115,5,144,109,253
695,5180748432,115,6,119,143,262
696,5180748560,116,1,121,131,252
697,5180748560,116,2,119,126,245
698,5180748560,116,3,132,111,243
699,5180748560,116,4,132,116,248
700,5180748560,116,5,138,111,249
701,5180748560,116,6,116,147,263
702,5180748816,117,1,134,120,254
703,5180748816,117,2,140,121,261
704,5180748816,117,3,113,133,246
705,5180748816,117,4,120,127,247
706,5180748816,117,5,138,104,242
707,5180748816,117,6,113,137,250
708,5180748944,118,1,134,120,254
709,5180748944,118,2,140,121,261
710,5180748944,118,3,113,133,246
711,5180748944,118,4,116,122,238
712,5180748944,118,5,143,115,258
713,5180748944,118,6,112,131,243
714,5180749072,119,1,138,121,259
715,5180749072,119,2,140,118,258
716,5180749072,119,3,115,131,246
717,5180749072,119,4,120,129,249
718,5180749072,119,5,131,111,242
719,5180749072,119,6,114,132,246
720,5180749200,120,1,145,117,262
721,5180749200,120,2,127,110,237
722,5180749200,120,3,123,139,262
723,5180749200,120,4,121,121,242
724,5180749200,120,5,136,115,251
725,5180749200,120,6,106,140,246
726,5180749328,121,1,143,108,251
727,5180749328,121,2,136,121,257
728,5180749328,121,3,113,126,239
729,5180749328,121,4,113,136,249
730,5180749328,121,5,129,126,255
731,5180749328,121,6,124,125,249
732,5180749584,122,1,138,103,241
733,5180749584,122,2,136,121,257
734,5180749584,122,3,118,131,249
735,5180749584,122,4,113,136,249
736,5180749584,122,5,129,126,255
737,5180749584,122,6,124,125,249
738,5180749712,123,1,137,112,249
739,5180749712,123,2,121,123,244
740,5180749712,123,3,139,111,250
741,5180749712,123,4,122,139,261
742,5180749712,123,5,121,135,256
743,5180749712,123,6,118,122,240
744,5180749840,124,1,127,124,251
745,5180749840,124,2,125,115,240
746,5180749840,124,3,137,122,259
747,5180749840,124,4,144,118,262
748,5180749840,124,5,114,134,248
749,5180749840,124,6,111,129,240
750,5180749968,125,1,127,124,251
751,5180749968,125,2,130,124,254
752,5180749968,125,3,132,113,245
753,5180749968,125,4,144,118,262
754,5180749968,125,5,114,134,248
755,5180749968,125,6,111,129,240
756,5180750224,126,1,122,131,253
757,5180750224,126,2,126,123,249
758,5180750224,126,3,138,104,242
759,5180750224,126,4,125,137,262
760,5180750224,126,5,110,127,237
761,5180750224,126,6,137,120,257
762,5180750352,127,1,134,107,241
763,5180750352,127,2,117,130,247
764,5180750352,127,3,144,119,263
765,5180750352,127,4,122,134,256
766,5180750352,127,5,121,127,248
767,5180750352,127,6,120,125,245
768,5180750480,128,1,134,107,241
769,5180750480,128,2,117,130,247
770,5180750480,128,3,135,106,241
771,5180750480,128,4,117,136,253
772,5180750480,128,5,129,134,263
773,5180750480,128,6,126,129,255
774,5180750608,129,1,132,114,246
775,5180750608,129,2,112,132,244
776,5180750608,129,3,147,106,253
777,5180750608,129,4,123,128,251
778,5180750608,129,5,122,126,248
779,5180750608,129,6,122,136,258
780,5180750736,130,1,130,129,259
781,5180750736,130,2,137,108,245
782,5180750736,130,3,126,122,248
783,5180750736,130,4,131,126,257
784,5180750736,130,5,125,127,252
785,5180750736,130,6,109,130,239
786,5180750864,131,1,121,118,239
787,5180750864,131,2,137,108,245
788,5180750864,131,3,131,124,255
789,5180750864,131,4,126,121,247
790,5180750864,131,5,126,131,257
791,5180750864,131,6,117,140,257
792,5180751120,132,1,147,107,254
793,5180751120,132,2,134,128,262
794,5180751120,132,3,120,117,237
795,5180751120,132,4,128,128,256
796,5180751120,132,5,117,127,244
797,5180751120,132,6,112,135,247
798,5180751248,133,1,147,107,254
799,5180751248,133,2,134,128,262
800,5180751248,133,3,127,126,253
801,5180751248,133,4,121,119,240
802,5180751248,133,5,117,127,244
803,5180751248,133,6,112,135,247
804,5180751376,134,1,147,107,254
805,5180751376,134,2,134,128,262
806,5180751376,134,3,129,126,255
807,5180751376,134,4,119,119,238
808,5180751376,134,5,117,127,244
809,5180751376,134,6,112,135,247
810,5180751504,135,1,134,106,240
811,5180751504,135,2,126,120,246
812,5180751504,135,3,133,130,263
813,5180751504,135,4,121,122,243
814,5180751504,135,5,122,125,247
815,5180751504,135,6,122,139,261
